Nom,URL,
Newsguard,https://www.newsguardtech.com/fr/special-reports/campagne-russe-cible-france/,
Viginum,https://www.sgdsn.gouv.fr/files/files/Publications/20250207_NP_SGDSN_VIGINUM_Rapport%20menace%20informationnelle%20IA_VF.pdf,
Newsguard,https://www.newsguardrealitycheck.com/p/reality-check-commentary-wherever,
Newsguard,https://www.newsguardrealitycheck.com/p/russian-propaganda-campaign-targets-france-with-ai-fabricated-scandals,
X,https://x.com/stairwayto3dom/status/1895396020684751019,
AMF,https://www.amf-france.org/fr/sanctions-transactions/decisions-de-la-commission-des-sanctions/san-2019-17-decision-de-la-commission-des-sanctions-du-11-decembre-2019-legard-de-la-societe,
Cour d'appel de Paris,https://www.cours-appel.justice.fr/sites/default/files/2022-05/20-03031%20BLOOMBERG%20contre%20AMF.pdf,
Union Européenne,https://eur-lex.europa.eu/legal-content/FR/TXT/?uri=LEGISSUM:240404_2,
France 24,https://www.france24.com/fr/archives/2020/06/11-juin-2020,
Les observeurs,https://observers.france24.com/fr/20200610-intox-black-lives-matter-raser-cheveux-feministes-4chan-troll,
X,https://x.com/Disruptepreneur/status/1269103540179353601,
X,https://x.com/Lizzeth_Lemon/status/1268924830687977473,
The Guardian,https://www.theguardian.com/world/2019/oct/30/whatsapp-fake-news-brazil-election-favoured-jair-bolsonaro-analysis-suggests,
Whattapps Monitor,http://www.monitor-de-whatsapp.dcc.ufmg.br,
Folha de S.Paolo,https://www1.folha.uol.com.br/poder/2019/10/whatsapp-admite-envio-massivo-ilegal-de-mensagens-nas-eleicoes-de-2018.shtml,
University of Oxford,https://demtech.oii.ox.ac.uk/wp-content/uploads/sites/12/2019/09/CyberTroop-Report19.pdf,
